,text,username,timestamp,Unnamed: 0
10,"Ghanaians in UK, what are the average monthly bills in your city?

Rent: £
Council Tax: £
Energy: £
Water: £
TV license: £
Transport: £
Wifi/data: £
Groceries: £
Clothing: £
Entertainment: £

https://t.co/uzD0BvLNXv",CediRates,Sun Aug 06 09:48:14 +0000 2023,
11,"NO! Rishi Sunak, I’ll tell you what most of us are up against;
Essential bills like #mortgage #rent #energy #water #counciltax #groceries #fuel … that we can’t pay. 

Have you EVER, EVER received a bill that you didn’t have the means to pay? Have you? No! Thought not! 

#r4today",Baffled Ape,Sat Jul 29 07:51:31 +0000 2023,
12,"NO Rishi Sunak, I’ll tell you what most of us are up against;  Essential bills like #mortgage #rent #energy #water #counciltax #groceries #fuel … that we can’t pay.
Have you EVER, EVER received a bill that you didn’t have the means to pay? Have you?
No! Thought not!
#r4today",Baffled Ape,Thu Jul 27 07:23:41 +0000 2023,
13,"NO Rishi Sunak, I’ll tell you what most of us are up against;

Essential bills like #mortgage #rent #energy #water #counciltax #groceries #fuel … that we can’t pay. 

Have you EVER, EVER received a bill that you didn’t have the means to pay? Have you? 

No! Thought not!",Baffled Ape,Wed Jul 26 10:42:54 +0000 2023,
14,"Rent - £990(Salford Quay)
Council Tax 
Energy - inclusive 
Water - inclusive
TV license - inclusive
Transportation - £50
Wifi/mobile date - £12
Groceries -£100
Clothing - £50(klarna spread)
Entertainment - £100",Peraisakop DaddyCoco,Thu Jul 20 10:41:38 +0000 2023,
15,"Luton (Student )

Rent £550 (Bill inclusive )
Council Tax NA
Energy NA
Water NA
TV license NA
Transportation : £80 (to Work only)
Wifi/mobile data: £10
Groceries : £50
Clothing : £ 100 every 3 months 
Entertainment: prime £5",Educated Sallaf🌛,Tue Jul 18 11:22:45 +0000 2023,
16,"Walsall

Rent. 575
Council Tax   140
Energy  100 to 240 depending on season
Water 12
TV license      I no dey watch tv
Transportation 100 to 200
Wifi/mobile date 40
Groceries       200
Clothing          lol
Entertainment lol
PS: flat with family",MAYOR OF THE SOUTH WEST,Mon Jul 17 21:19:43 +0000 2023,
17,"Rent - 495
Council Tax - 0 
Energy - 0
Water - 0
TV license - 0 
Transportation - 61
Wifi/mobile date - 10
Groceries - 60
Clothing - 100
Entertainment - 50",Blackhole,Mon Jul 17 21:13:53 +0000 2023,
18,"London 

Rent £800
Council Tax inc
Energy £35 
Water inc
TV license NA
Transportation £150
Wifi/mobile date Wi-Fi inc/ mobile data £60
Groceries £200
Clothing  £100
Entertainment £500",Magnificient Daddy PhD,Mon Jul 17 20:12:55 +0000 2023,
19,"Rent : 650
Council Tax : 110
Energy : 120
Water : 50
TV license : NA
Transportation : 500
Wifi/mobile date : 42
Groceries : 200
Clothing : 200
Entertainment: 250",𝙰𝚍𝚎𝚝𝚘𝚕𝚊,Mon Jul 17 20:02:23 +0000 2023,
20,"Birmingham:

Rent: £975
Council Tax: £180
Energy: £100
Water: £28
TV license£ 0
Transportation: £200
Wifi/mobile date: £80 (my phone plus wifi at home)
Groceries: £250
Clothing: £300-£500
Entertainment: £200",nwamaka.,Sun Jul 16 11:58:37 +0000 2023,
21,"Nigerians in the UK. 

What is the average monthly bills in your city? 

Rent 
Council Tax 
Energy 
Water 
TV license 
Transportation 
Wifi/mobile date 
Groceries 
Clothing 
Entertainment",Nigerians in the UK 🇳🇬🇬🇧,Sun Jul 16 08:50:04 +0000 2023,
22,"Rent =512
Council Tax -Nil (Exemption for now)
Energy (included in Rent)
Water (Included in Rent)
TV license (Included in Rent)
Transportation (110£)
Wifi/mobile date (15£)
Groceries (70-80)
Clothing (I have enough for now)
Entertainment (20£)",Osinachi,Sun Jul 16 10:49:12 +0000 2023,
23,"UPDATED: Average monthly bills for a bachelor in the UK (Birmingham July 2024)

Rent £700 (1 bed apartment)
Council Tax £110
Energy (gas/electric) £150
Water £40
TV license £15
Transportation £150
Wifi/mobile date £80
Groceries £300
Clothing £300
Entertainment £200

Total £2045",SK 🇬🇧🇬🇧,Sat Jul 06 09:31:56 +0000 2024,
24,"Rent 
Council Tax 
Energy 
Water 
TV license 
Transportation 
Wifi/mobile 
Groceries 
Clothing 
Car insurance 
Car Finance 
Black tax 

If she can’t do 50/50, she’s not ready to support her man. 

Nigerian men also need a support system. 

Bills dey choke.",🎙OLUOMO OF DERBY 🇳🇬 🇬🇧,Mon Jan 22 16:31:54 +0000 2024,
25,"Rent: £400
Council Tax: £100
Energy: Free
Water: £30
TV license: No TV
Transportation: £200
Wifi/mobile date: £40
Groceries: 120
Clothing: £40
Entertainment: £4,000
Wucuup: £6,000

Total: £10,930

Someone help me, I don’t know what I’m doing wrong",LGL,Sun Jul 16 13:04:17 +0000 2023,
26,"Rent— £1,300
Council Tax — let me ask my husband 
Energy— £500
Water— £150
TV license -£0
Transportation- £0, I work from home
Wifi/mobile date— £200
Groceries— £700
Clothing —£500
Entertainment —I’m an introvert 

🌚🌚",Opeyemi Feyisike 🧣🧣,Sun Jul 16 19:07:17 +0000 2023,
27,"Glasgow 

Rent 2bedroom £750
Council tax £177
Energy and water bills £143
TV license £15
Transportation £100
WiFi+mobile data £30
Groceries (family of 4) £350
Clothing £100
Entertainment £80
Black tax £500",Kunle,Sun Jul 16 20:38:58 +0000 2023,
28,"Bolton

Rent: 400 (All bills)
Council Tax: 0
Energy: 0
Water: 0
TV license: 0
Transportation: £30 (I dey trek die)
Wifi/mobile date: £50
Groceries: £60
Clothing: 0 (I carry cloth come UK)
Entertainment: 0 (You will drink juice from the groceries)

Total: £540",oluwafemi,Sun Jul 16 20:10:00 +0000 2023,
29,"I very much agree with this and would go further - I'd like my energy to be municipal, so I pay for it with my council tax bill as I do for water.  Broadband, too.",Auntie Syzygy,Wed Mar 27 09:23:01 +0000 2024,
30,"MY MONTHLY EXPENSES IN LAGOS

RENT: ₦500,00
Council tax: ₦5000
Energy: ₦15,000
Water: ₦270,000
Transportation: ₦750,000
TV license: FREE
Wi-Fi and Data: ₦300,000
Groceries and African food: ₦800,000
Clothing: ₦2,000,000
Entertainment: ₦200000
Eat out: ₦500,000",Vampz,Sun Jul 16 19:18:18 +0000 2023,
31,"Average monthly bills for a bachelor in the UK (location Birmingham)

House rent £500 (1 bed apartment)
Council Tax £110
Energy (gas/electric) £70
Water £40
TV license £15
Transportation £110
Wifi £25
Mobile data £20
Groceries £200
Clothing £300
Miscellaneous £100

Total £1490",SK 🇬🇧🇬🇧,Wed Jun 22 22:34:58 +0000 2022,
32,"Rent: 825
Council Tax: 133
Energy: 150
Water: 16
TV license: 0
Transportation: I dey drive
Fuel: 50
Car Insurance:124
Wifi/mobile data: 55
Groceries + Feeding: 300
Clothing: &lt; 200
Entertainment: 100",dr3y,Sun Jul 16 19:15:48 +0000 2023,
33,"UPDATED: Average monthly bills for a bachelor in the UK (Birmingham July 2023)

Rent £700 (1 bed apartment)
Council Tax £110
Energy (gas/electric) £100
Water £40
TV license £15
Transportation £150
Wifi/mobile date £60
Groceries £300
Clothing £300
Entertainment £200

Total £1975",SK 🇬🇧🇬🇧,Sat Jul 15 17:19:11 +0000 2023,
34,"Rent: £5,475
Council Tax: £750
Groceries: £1,750
TV licence: £350
Energy: 1,230
Water: 100
Transportation: 550
Wifi/mobile date: 120
Clothing: 3,600
Entertainment: 130

PS: No be you dey pay am. 🙏🏼",DemoLa,Mon Jul 17 10:00:57 +0000 2023,
35,"Location: Iyana Borough  

Rent £550
Council Tax £160
Energy &amp; Gas £140
Water £41
TV license £13
Fuel £200 
Wifi/mobile date £45
Groceries £300
Entertainment £100",smug,Sun Jul 16 11:27:21 +0000 2023,
36,"Greenwich Peninsula, London

Rent: £2800 [2BR, 2T]
Council Tax: £185
Energy: £70
Heating: £35
Water: £30
TV license: £15
Transportation: £120
Wifi/mobile date: £21 / £31
Groceries: £150
Entertainment: £100 max",UGO 🇬🇧,Sun Jul 16 11:33:16 +0000 2023,
37,"Uk 🇬🇧 is not for the weak 😂😞 
(35,000 per annum)
Average Salary after tax - £2,265 per month 
Rent- £1350
Energy &amp; water bill - £170
Council Tax - £225
WiFi &amp; Phone bill - £120
Groceries- £200
Car insurance -£150
Car tax- £35
⛽️ Fuel- £150
Subscriptions-£80
Continue 👇",👑ℂ𝔸𝔹𝕆 EMPIRE,Sat Feb 10 09:45:56 +0000 2024,
38,"What is the average monthly bills in your city? 
Bristol 

Rent £700
Council Tax (NIL)
Energy NIL
Water NIL
TV license NIL
Transportation £150-200
Wifi/mobile date £20
Groceries £50-100
Clothing (depending on the month)
Baddies £100-200
Entertainment £50
Black Tax £200-300",AKIN’s 🇬🇧 🇳🇬,Mon Jul 17 13:31:03 +0000 2023,
39,"Rent: £400
Council Tax: Not paying for now
Energy: inclusive in rent
Water: inclusive in rent
TV license: Don't need it
Transportation: £70
Wifi/mobile date: inclusive in rent
Groceries: £100
Clothing: Buy as u go( not budgeted)
Entertainment: what's that??",Jerome,Mon Jul 17 12:01:36 +0000 2023,
40,"UPDATED: Average monthly bills for a bachelor in the UK (Birmingham July 2024)

Rent £700 (1 bed apartment)
Council Tax £110
Energy (gas/electric) £150
Water £40
TV license £15
Transportation £150
Wifi/mobile date £80
Groceries £300
Clothing £300
Entertainment £200

Total £2045",SK 🇬🇧🇬🇧,Sat Jul 06 09:31:56 +0000 2024,
41,"Rent 
Council Tax 
Energy 
Water 
TV license 
Transportation 
Wifi/mobile 
Groceries 
Clothing 
Car insurance 
Car Finance 
Black tax 

If she can’t do 50/50, she’s not ready to support her man. 

Nigerian men also need a support system. 

Bills dey choke.",🎙OLUOMO OF DERBY 🇳🇬 🇬🇧,Mon Jan 22 16:31:54 +0000 2024,
42,"Ghanaians in UK, what are the average monthly bills in your city?

Rent: £
Council Tax: £
Energy: £
Water: £
TV license: £
Transport: £
Wifi/data: £
Groceries: £
Clothing: £
Entertainment: £

https://t.co/uzD0BvLNXv",CediRates,Sun Aug 06 09:48:14 +0000 2023,
43,"Rent - £990(Salford Quay)
Council Tax 
Energy - inclusive 
Water - inclusive
TV license - inclusive
Transportation - £50
Wifi/mobile date - £12
Groceries -£100
Clothing - £50(klarna spread)
Entertainment - £100",Peraisakop DaddyCoco,Thu Jul 20 10:41:38 +0000 2023,
44,"Luton (Student )

Rent £550 (Bill inclusive )
Council Tax NA
Energy NA
Water NA
TV license NA
Transportation : £80 (to Work only)
Wifi/mobile data: £10
Groceries : £50
Clothing : £ 100 every 3 months 
Entertainment: prime £5",Educated Sallaf🌛,Tue Jul 18 11:22:45 +0000 2023,
45,"Walsall

Rent. 575
Council Tax   140
Energy  100 to 240 depending on season
Water 12
TV license      I no dey watch tv
Transportation 100 to 200
Wifi/mobile date 40
Groceries       200
Clothing          lol
Entertainment lol
PS: flat with family",MAYOR OF THE SOUTH WEST,Mon Jul 17 21:19:43 +0000 2023,
46,"Rent - 495
Council Tax - 0 
Energy - 0
Water - 0
TV license - 0 
Transportation - 61
Wifi/mobile date - 10
Groceries - 60
Clothing - 100
Entertainment - 50",Blackhole,Mon Jul 17 21:13:53 +0000 2023,
47,"London 

Rent £800
Council Tax inc
Energy £35 
Water inc
TV license NA
Transportation £150
Wifi/mobile date Wi-Fi inc/ mobile data £60
Groceries £200
Clothing  £100
Entertainment £500",Magnificient Daddy PhD,Mon Jul 17 20:12:55 +0000 2023,
48,"Rent : 650
Council Tax : 110
Energy : 120
Water : 50
TV license : NA
Transportation : 500
Wifi/mobile date : 42
Groceries : 200
Clothing : 200
Entertainment: 250",𝙰𝚍𝚎𝚝𝚘𝚕𝚊,Mon Jul 17 20:02:23 +0000 2023,
49,"@NIUKCommunity Colchester

Rent 700
C/Tax 102
Energy 100
Water 30
TV license 0
Trans 120
Mobile 25
Groceries 300
Clothing 30
Entertainment 0 (I no dey comot)",Olajide,Mon Jul 17 19:31:42 +0000 2023,
50,"@NIUKCommunity Guildford (Surrey)

Rent - £1600 (2bed)
Council tax  - £140
Energy - £240
Water - 56 (quarterly)
TV license ( what’s that)
Transportation (£250)
Wi-Fi / Data (£25 virgin media / £35 EE)
Groceries (£200)
Clothing (£200)
Entertainment (never budgeted )

Total -£2756",Walter White,Mon Jul 17 18:04:43 +0000 2023,
51,"@NIUKCommunity London 

Rent £650
Council Tax inc
Energy £10 a month for summer 
Water inc
TV license NA
Transportation £120
Wifi/mobile date Wi-Fi inc/ mobile data £9
Groceries £150
Clothing once in 3 or 5month £250
Entertainment £100",January 26 ❤️,Mon Jul 17 18:03:55 +0000 2023,
52,"@NIUKCommunity Kent: Rent £1,200 2bedroom
Council Tax £150
Energy £300
Water £50
TV license £25
Transportation £150
Wifi/mobile date £30
Groceries £400
Clothing £100
Entertainment £100",Akonuche,Mon Jul 17 17:11:35 +0000 2023,
53,"@NIUKCommunity Rent— £450
Council Tax — £250
Energy— £350
Water— £250
TV license -£50
Transportation- £160
Wifi/mobile date— £40
Groceries— £250
Clothing —£100
Entertainment — £57",March 10,Mon Jul 17 17:05:52 +0000 2023,
54,"@NIUKCommunity Birmingham 
Rent  £435  (studio)
Council Tax N/A
Energy £100
Water N/A
TV license N/A
Transportation Bus £55 
Wifi/mobile date £45 (2phones 1broadban)
Groceries £150
Clothing £80
Entertainment £100
Average £900 - £1000 monthly",Anuoluwaposimi,Mon Jul 17 16:53:19 +0000 2023,
55,"Birmingham 
Rent  £435  (studio)
Council Tax N/A
Energy £100
Water N/A
TV license N/A
Transportation Bus £55 
Wifi/mobile date £45 (2phones 1broadban)
Groceries £150
Clothing £80
Entertainment £100
Average £900 - £1000 monthly",Anuoluwaposimi,Mon Jul 17 16:52:59 +0000 2023,
56,"@NIUKCommunity Rent - 895
Council Tax - 0 
Energy - did £75 last month but on direct debit of £190
Water - bi monthly £150
TV license -0
Transportation - £90 for two people 
Wifi/mobile data -£26.50+ £6
Groceries -£500
Clothing -£100 or less
Entertainment-£30 or Less",Soft-Ajebo™ PHD,Mon Jul 17 16:02:12 +0000 2023,
57,"London In Jesus Name:

Rent £1500 (2bd)
Council Tax (£150)
Energy (£100)
Water (£100)
TV license (£90)
Transportation (£90)
Wifi/mobile date (£90)
Groceries (£100)
Clothing (£50)
Entertainment (£100)

Don’t say anything, just RT and move… “ape mo’ra eni la n pe temidire”",Digital Marketing Analyst | DataFestAfrica2024,Mon Jul 17 15:57:02 +0000 2023,
58,"Student 😂

Rent 368 (Bill inclusive )
Council Tax NA
Energy NA
Water NA
TV license NA
Transportation : Bike (school and work)
Wifi/mobile date : £25
Groceries : £60
Clothing : £ 100 every 3 months 
Entertainment: prime £5 and Netflix #1,200",Heritage,Mon Jul 17 15:55:31 +0000 2023,
59,"Belfast NI

Rent     £350. 2bdrm shared  
Council Tax : n/a
Energy : £50
Water : n/a
TV license: n/a
Transportation work remotely: £20  
Wifi/mobile date :£65
Groceries : £200
Clothing : £200 not monthly though 
Entertainment: £70",Ozi,Mon Jul 17 14:32:37 +0000 2023,
60,"@NIUKCommunity Bedford 
Rent 
Council Tax 
Energy 
Water 
TV license 
Transportation 
Wifi/mobile date 
Groceries 
Clothing 
Entertainment

Hmmm let's sha thank God for He is my Shepherd, i shall not want",Damilola Urhiemefe Longe,Sun Jul 16 20:57:45 +0000 2023,
61,"@NIUKCommunity Bedford
One bedroom: £600
Council tax: 140
Water and internet: 60
Car insurance: 110
Fuel: 150
Groceries: 300
Electric and gas: 150
Phone contr: 40
Vehicle tax: 20",Ola,Sun Jul 16 11:31:47 +0000 2023,
62,"UPDATED: Average monthly bills for a bachelor in the UK (Birmingham July 2024)

Rent £700 (1 bed apartment)
Council Tax £110
Energy (gas/electric) £150
Water £40
TV license £15
Transportation £150
Wifi/mobile date £80
Groceries £300
Clothing £300
Entertainment £200

Total £2045",SK 🇬🇧🇬🇧,Sat Jul 06 09:31:56 +0000 2024,
63,"@NIUKCommunity Birmingham 
Rent  £435  (studio)
Council Tax N/A
Energy £100
Water N/A
TV license N/A
Transportation Bus £55 
Wifi/mobile date £45 (2phones 1broadban)
Groceries £150
Clothing £80
Entertainment £100
Average £900 - £1000 monthly",Anuoluwaposimi,Mon Jul 17 16:53:19 +0000 2023,
64,"Birmingham 
Rent  £435  (studio)
Council Tax N/A
Energy £100
Water N/A
TV license N/A
Transportation Bus £55 
Wifi/mobile date £45 (2phones 1broadban)
Groceries £150
Clothing £80
Entertainment £100
Average £900 - £1000 monthly",Anuoluwaposimi,Mon Jul 17 16:52:59 +0000 2023,
65,"@NIUKCommunity Dudley uk (15min drive to Birmingham)
Rent       £650  (2bed )
Council Tax  £110
Energy      £150
Water        £40
TV license  £15
Transportation £72 (to fill my tank twice a month)
Wifi/mobile date  £24 and £12
Groceries    £200 
Clothing   Not monthly 
Entertainment  £150",dare™️,Sun Jul 16 19:57:17 +0000 2023,
66,"@NIUKCommunity Birmingham 
Rent 820 (3bed)
Council Tax: 140 - 170
Energy 165
Water : 35
TV license: nil
Transportation: 100
Wifi/mobile date : 95
Groceries: 500 (family of 4)
Clothing: 200
Entertainment: 100",Obiclayz,Sun Jul 16 12:32:36 +0000 2023,
67,"Birmingham:

Rent: £975
Council Tax: £180
Energy: £100
Water: £28
TV license£ 0
Transportation: £200
Wifi/mobile date: £80 (my phone plus wifi at home)
Groceries: £250
Clothing: £300-£500
Entertainment: £200",nwamaka.,Sun Jul 16 11:58:37 +0000 2023,
68,"Average monthly bills for a couple in the UK (Birmingham July 2023)

Rent £1000 (2 bed apartment)
Council Tax £124
Energy (gas/electric) £100
Water £40
TV license £15
Westmidlands Bus Pass  £55 x2 
Wifi 30
Mobile  £10 x2 
Groceries £300
Misc £200
Entertainment £200

Total £2139",🌍 A!,Sat Jul 15 17:59:08 +0000 2023,
69,"UPDATED: Average monthly bills for a bachelor in the UK (Birmingham July 2023)

Rent £700 (1 bed apartment)
Council Tax £110
Energy (gas/electric) £100
Water £40
TV license £15
Transportation £150
Wifi/mobile date £60
Groceries £300
Clothing £300
Entertainment £200

Total £1975",SK 🇬🇧🇬🇧,Sat Jul 15 17:19:11 +0000 2023,
70,"Average monthly bills for a bachelor in the UK (location Birmingham)

House rent £500 (1 bed apartment)
Council Tax £110
Energy (gas/electric) £70
Water £40
TV license £15
Transportation £110
Wifi £25
Mobile data £20
Groceries £200
Clothing £300
Miscellaneous £100

Total £1490",SK 🇬🇧🇬🇧,Wed Jun 22 22:34:58 +0000 2022,
71,"Bolton

Rent: 400 (All bills)
Council Tax: 0
Energy: 0
Water: 0
TV license: 0
Transportation: £30 (I dey trek die)
Wifi/mobile date: £50
Groceries: £60
Clothing: 0 (I carry cloth come UK)
Entertainment: 0 (You will drink juice from the groceries)

Total: £540",oluwafemi,Sun Jul 16 20:10:00 +0000 2023,
72,"@NIUKCommunity Bolton

Rent £695 2bed house
Council Tax £108
Road tax £3
Energy £106
Water £24
TV license £13
Transportation £90 (Car fueling)
Wifi/mobile data £47
Groceries £150
Clothing (the ones we have still dey ok)
Entertainment £50

Total: £1286",20-10-2020... #Lekkitollgatemassacre,Sun Jul 16 19:40:07 +0000 2023,
73,"What is the average monthly bills in your city? 
Bristol 

Rent £700
Council Tax (NIL)
Energy NIL
Water NIL
TV license NIL
Transportation £150-200
Wifi/mobile date £20
Groceries £50-100
Clothing (depending on the month)
Baddies £100-200
Entertainment £50
Black Tax £200-300",AKIN’s 🇬🇧 🇳🇬,Mon Jul 17 13:31:03 +0000 2023,
74,"@NIUKCommunity Canterbury 
Rent=£500
Council Tax -(added in rent)
Energy (added in Rent)
Water (added in Rent)
TV license (Included in Rent)
Transportation (£80)
Wifi/mobile date (£10, wifi is inclusive in my accommodation)
Groceries (£100)
Clothing ( £50 occasionally)
Entertainment (£20)",Josh RN.,Sun Jul 16 13:53:37 +0000 2023,
75,"@NIUKCommunity Coventry 

Rent - £1200 (3 bed) 
Council Tax - £110
Energy - £150 (Gas and Electric)
Water - £27
TV license - N/A
Transportation - £200 (fuel) 
Wifi/mobile date £44 (WiFi) £15 (mobile)
Groceries - £150
Clothing - £50
Entertainment - £100 

Total £2046 🥹",Kvng_fuad,Sun Jul 16 09:33:11 +0000 2023,
76,"@NIUKCommunity Dartford 
Rent  2 bedroom 1300£
Council tax 120£
Energy 200£
Water 30£
Tv license 15£
Wifi 25£
Groceries 300 family of 3
Entertainment as you wish
Clothing not every month 
Fuel/ Transportation 120£",Adetoun Alawiye,Sun Jul 16 15:42:22 +0000 2023,
77,"Rent 
Council Tax 
Energy 
Water 
TV license 
Transportation 
Wifi/mobile 
Groceries 
Clothing 
Car insurance 
Car Finance 
Black tax 

If she can’t do 50/50, she’s not ready to support her man. 

Nigerian men also need a support system. 

Bills dey choke.",🎙OLUOMO OF DERBY 🇳🇬 🇬🇧,Mon Jan 22 16:31:54 +0000 2024,
78,"Derby:

Rent: £550
Council Tax: £180
Energy: £150
Water: £28
TV license£13.25
Transportation: £150
Wifi/mobile date: £55 (my phone plus wifi at home)
Groceries: £250
Miscellaneous : £150",ARONKIE😍,Sun Jul 16 23:10:48 +0000 2023,
79,"@NIUKCommunity DUNDEE

Rent £450
Council tax £133
Energy £150
Water £0
TV license £0
Transportation £65
Mobile data £10 (sim contract)
Groceries about £120
Entertainment £16",Amidat Temilade Kareem,Sun Jul 16 12:02:24 +0000 2023,
80,"London 

Rent £800
Council Tax inc
Energy £35 
Water inc
TV license NA
Transportation £150
Wifi/mobile date Wi-Fi inc/ mobile data £60
Groceries £200
Clothing  £100
Entertainment £500",Magnificient Daddy PhD,Mon Jul 17 20:12:55 +0000 2023,
81,"@KolaBilewu @NIUKCommunity I stay in Chelmsford. Essex
I believe 3 bedroom apartment 
/house Rent is from £2000 to £2500 per month 
Coucil tax is £185 per month
Energy is £250 
Water is £75
Tv license is £24
Wifi (virgin media ) is £95 
Groceries is £200
Entertainment is £150
Transport to London 150",JB_19,Mon Jul 17 10:01:13 +0000 2023,
82,"Nigerians in the UK. 

What is the average monthly bills in your city?

City - Glasgow

Rent - 600
Council Tax - 0
Energy/Gas- 200
Water - part of council tax
TV license - 0
Transportation - 200
Wifi/mobile date - 25
Groceries - 200
Clothing - not every time 
Entertainment - 0",Cyber 🇳🇬,Mon Jul 17 12:30:52 +0000 2023,
83,"@NIUKCommunity Glasgow
Rent- £316 Two Bedroom
Council Tax- £111 monthly 
Energy- £140 (From August 5, it will be £93)
Water- £0
TV license- £0
Transportation- £150
Wifi/mobile data- £39/£50
Groceries- £200
Clothing- £100
Entertainment- £100
TV, Gas Cooker, Washing Machine Insurance-£13",JA,Mon Jul 17 04:55:32 +0000 2023,
84,"Glasgow 

Rent 2bedroom £750
Council tax £177
Energy and water bills £143
TV license £15
Transportation £100
WiFi+mobile data £30
Groceries (family of 4) £350
Clothing £100
Entertainment £80
Black tax £500",Kunle,Sun Jul 16 20:38:58 +0000 2023,
85,"@NIUKCommunity Rent   520.   1 bed.  Glasgow 
Council Tax 
Energy  103
Water   Free. 
TV license 15
Transportation  90
Wifi/mobile date 43
Groceries    141-188
Clothing    Once in 4 months 
Entertainment.  28",H7🥇(EkitiBoy),Sun Jul 16 19:01:18 +0000 2023,
86,"@NIUKCommunity Glasgow 

Rent 2bedroom £750
Council tax £177
Energy and water bills £143
TV license £15
Transportation £100
WiFi+mobile data £30
Groceries (family of 4) £350
Clothing £100
Entertainment £80",Kunle,Sun Jul 16 13:53:11 +0000 2023,
87,"@NIUKCommunity Northern Ireland

Rent 2 bed (£650)
Council Tax (£0)
Energy (£50)
Water (£0)
TV license (I didn’t sub to that)
Transportation (£100) 
Wifi/mobile WiFi (£24) mobile (£10)
Groceries (£200)
Clothing  (Not often)
Entertainment (It also depend)",ayotolaoluwaseyi,Mon Jul 17 00:05:06 +0000 2023,
88,"@NIUKCommunity Leeds 

Rent - £500
Council Tax - Nil 
Energy - included in rent 
Water - included in rent 
TV license - Nil 
Transportation - £53 (first bus)
Wifi/mobile date - £36
Groceries - £150
Clothing - don’t shop monthly 
Entertainment - £45

Total £784",Masvinci,Sun Jul 16 17:10:11 +0000 2023,
89,"Location Leicester 

Rent- £1k(3bed)
Council Tax- £155
Energy - £150(gas and electricity)
Water -£60
TV license -
Transportation - £66.5(monthly adult)
Wifi/mobile date -£25
Groceries £400
Clothing- no monthly bill
Entertainment- £100",Awwal Ayoola,Sun Jul 16 13:31:16 +0000 2023,
